brief_id,status,brand_id,brand_name,contract_id,contract_name,category,vertical,brief_allocation,photos_required,gifs_required,cinemagraphs_required,videos_required,brand_selection,rating,total_briefs_purchased,total_briefs_used,price_per_brief,product_type,created_date,
5a706af6d1a3870012c9d64d,Closed,5988bffc28b572000fa34711,Danone,5a49ec421128180011f54ce5,Danone-WundermanGroupe-2018-12-Basic-Wunderman LLC - Danone - Brand - 12 Months - Renewal+,Food & Drink,Food & Beverage,1,25,0,0,0,FALSE,1,20,22,4500,,2018-01-30 13:17,
5a7072acd1a3870012c9d8f8,Closed,5988bffc28b572000fa34711,Danone,5a49ec421128180011f54ce5,Danone-WundermanGroupe-2018-12-Basic-Wunderman LLC - Danone - Brand - 12 Months - Renewal+,Recipes,Food & Beverage,1,25,0,0,0,FALSE,,20,22,4500,,2018-01-30 15:30,
5a7072acd1a3870012c9d8f8,Closed,5988bffc28b572000fa34711,Danone,5a49ec421128180011f54ce5,Danone-WundermanGroupe-2018-12-Basic-Wunderman LLC - Danone - Brand - 12 Months - Renewal+,Food & Drink,Food & Beverage,1,25,0,0,0,FALSE,,20,22,4500,,2018-01-30 15:30,
5a707ec5dce44900117f1204,Closed,56098b8d337697b77fa11aa8,Lexus Canada,593029cfb1e75b000e79bbda,Lexus Canada - Subscription - 2017,Product,Automotive,1,25,0,0,0,TRUE,2,16,12,1250,,2018-01-30 21:31,
5a708ef9dce44900117f29c5,Closed,58c812823b6f110b001b09a2,SpikedSeltzer,5913076d05430d000c13d689,CLOSED - Anheuser-Busch LLC USA - Subscription - 2017,Lifestyle,Alcohol,1,20,0,0,0,TRUE,1,40,32,1650,,2018-01-30 19:52,
5a708ef9dce44900117f29c5,Closed,58c812823b6f110b001b09a2,SpikedSeltzer,5913076d05430d000c13d689,CLOSED - Anheuser-Busch LLC USA - Subscription - 2017,Food & Drink,Alcohol,1,20,0,0,0,TRUE,1,40,32,1650,,2018-01-30 19:52,
5a709865add959001064954a,Closed,5644ccd1d084420b43bfe03f,Schlotzsky's,59284505026721000f8dcc13,Focus Brands - Focus Brands - 2019-04 - Basic - Focus Brands 2017-2019(YEAR 1),Product,Restaurant,1,25,0,0,0,FALSE,,22,23,1925,,2018-01-30 19:06,
5a7098a865fc2c001192dba9,Closed,5644ccd1d084420b43bfe03f,Schlotzsky's,5a5f8393d8e27a0010e34f73,Focus Brands - Focus Brands - 2019-04 - Basic - Focus Brands 2017-2019 - Opt-in (YEAR 2),Product,Restaurant,1,25,0,0,0,FALSE,,22,8,1925,Basic,2018-01-30 19:01,
5a709a9cd1a3870012ca3de7,Closed,565fa2ec3e697f3a7158b013,GrubHub,5a6b4feae43a63001013a564,GrubHub-GrubHubInc-2019-01-Standard Brief (up to 5)-GrubHub Inc. - Enterprise - 12 Months - New,Lifestyle,Service,1,25,0,0,0,FALSE,4,5,7,2800,,2018-01-30 16:28,
5a709a9cd1a3870012ca3de7,Closed,565fa2ec3e697f3a7158b013,GrubHub,5a6b4feae43a63001013a564,GrubHub-GrubHubInc-2019-01-Standard Brief (up to 5)-GrubHub Inc. - Enterprise - 12 Months - New,Food & Drink,Service,1,25,0,0,0,FALSE,4,5,7,2800,,2018-01-30 16:28,
5a70f7e92dfa820011b25fbc,Closed,5721254e8bb4615534a0c803,Garnier USA,5a49ba50d623c90011c894f0,"Garnier - L’oreal - 2019 - 12 - Legacy - L'Oreal USA, Inc. - Garnier - Brand - 2018 Renewal",Product,Beauty & Cosmetics,1,25,0,0,0,FALSE,2,28,28,2678.57,Basic,2018-01-30 23:29,
5a71dddb2dfa820011b38f72,Closed,565fa2ec3e697f3a7158b013,GrubHub,5a6b4feae43a63001013a564,GrubHub-GrubHubInc-2019-01-Standard Brief (up to 5)-GrubHub Inc. - Enterprise - 12 Months - New,On Location,Service,1,25,0,0,0,FALSE,1,5,7,2800,,2018-01-31 15:21,
5a71dddb2dfa820011b38f72,Closed,565fa2ec3e697f3a7158b013,GrubHub,5a6b4feae43a63001013a564,GrubHub-GrubHubInc-2019-01-Standard Brief (up to 5)-GrubHub Inc. - Enterprise - 12 Months - New,Food & Drink,Service,1,25,0,0,0,FALSE,1,5,7,2800,,2018-01-31 15:21,
5a71e16e2dfa820011b39a1f,Closed,57fb956c7e09b86e1895d9f6,Pei Wei,5a28100850431e0011e1ad7d,"PEI WEI- PEI WEI- EXPIRY (2018-12) - Basic- Pei Wei Asian Diner, Inc - Brand - 12 Months - Renewal",Lifestyle,Restaurant,1,25,0,0,0,FALSE,,45,46,4000,,2018-01-31 16:14,
5a71e16e2dfa820011b39a1f,Closed,57fb956c7e09b86e1895d9f6,Pei Wei,5a28100850431e0011e1ad7d,"PEI WEI- PEI WEI- EXPIRY (2018-12) - Basic- Pei Wei Asian Diner, Inc - Brand - 12 Months - Renewal",Food & Drink,Restaurant,1,25,0,0,0,FALSE,,45,46,4000,,2018-01-31 16:14,
